,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
601,Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529,158,G#,Minor,46,62,83,53,0,97,28,263.89453,26,10.14979
602,The Feels,TWICE,1,2021,10,1,1150,0,345903614,120,A,Major,81,92,90,9,0,8,7,345.90361,27,12.81124
603,HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566,129,0,Major,61,59,46,56,0,13,5,951.63757,46,20.68777
604,No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,102,G,Major,74,45,89,5,0,26,13,956.86527,86,11.12634
605,OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,124,G#,Minor,79,79,84,2,0,5,5,427.486,29,14.7409
606,Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,90,E,Minor,73,31,45,85,24,11,3,156.65837,93,1.6845
607,2055,Sleepy hallow,1,2021,4,14,2226,0,624515457,161,F#,Minor,78,65,52,46,0,12,31,624.51546,33,18.92471
608,Bored,Billie Eilish,1,2017,3,30,4204,0,777765388,120,G,Major,60,11,33,90,0,8,5,777.76539,82,9.48494
609,Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,1959,0,412795151,81,0,Major,45,12,57,7,0,23,3,412.79515,29,14.23432
610,Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110,150,E,Minor,78,47,70,18,0,15,9,1138.47411,60,18.97457
611,Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,105,G#,Major,76,58,84,10,0,13,10,355.21918,28,12.6864
612,Every Summertime,NIKI,1,2021,8,10,1211,2,290228626,79,F#,Major,63,76,67,38,0,6,4,290.22863,29,10.00788
613,Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628,146,C#,Minor,52,7,61,51,0,11,3,1062.95663,161,6.60222
614,you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,124,E,Major,64,8,37,79,0,9,5,1180.09497,45,26.22433
615,The Nights,Avicii,1,2014,1,1,17354,8,1456081449,126,F#,Major,53,66,85,2,0,24,4,1456.08145,121,12.03373
616,Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334,121,G#,Major,75,53,74,2,0,11,5,432.70233,29,14.92077
617,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,136,B,Minor,80,33,60,0,0,32,14,489.94587,28,17.49807
618,Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,465959382,102,A,Minor,77,26,63,58,0,11,5,465.95938,30,15.53198
619,Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,77,G,Major,73,54,74,23,0,41,23,1223.48115,26,47.05697
