,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
850,Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,238350348,148,G,Major,51,21,63,5,0,41,3,238.35035,20,11.91752
851,Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102,114,E,Minor,71,90,81,31,2,13,3,187.7031,19,9.87911
852,Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,295307001,120,0,Minor,91,63,77,12,1,10,5,295.307,18,16.40594
853,Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433,92,F#,Major,83,56,82,10,0,9,5,138.33443,19,7.28076
854,Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495,118,F,Major,56,25,45,1,3,7,3,445.5905,86,5.18128
855,Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,286739476,123,E,Minor,60,46,71,3,0,16,4,286.73948,21,13.65426
856,SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376,89,D#,Major,52,28,48,54,1,19,3,1122.36438,64,17.53694
857,Antes de Perderte,Duki,1,2022,6,2,584,8,157136970,110,F,Minor,81,61,93,49,0,12,11,157.13697,19,8.27037
858,Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925,118,0,Major,42,32,20,94,0,11,4,137.07092,19,7.21426
859,295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246,90,B,Minor,68,54,76,21,0,11,20,183.27325,32,5.72729
860,Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630,130,0,Major,49,14,40,82,0,11,3,184.80763,19,9.72672
861,En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284,154,F#,Minor,70,97,62,47,0,10,4,164.85628,19,8.67665
862,Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068,105,E,Minor,54,59,83,0,44,20,4,704.17107,460,1.53081
863,BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964,115,C#,Minor,70,87,88,4,0,26,8,354.61496,18,19.70083
864,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388,110,C#,Major,91,59,82,8,0,6,8,279.71739,18,15.53986
865,Massive,Drake,1,2022,6,17,5263,0,195628667,125,E,Minor,51,5,68,12,2,15,6,195.62867,18,10.86826
866,Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937,102,C#,Major,73,62,75,0,0,34,8,221.75294,18,12.31961
867,Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370,120,G#,Minor,81,72,65,4,0,14,4,263.28037,23,11.44697
868,POP!,Nayeon,1,2022,6,24,571,0,213505179,97,D,Major,80,36,86,4,0,3,5,213.50518,18,11.8614
869,Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412,140,F,Minor,44,41,92,0,0,44,7,130.41941,21,6.21045
870,MORE,j-hope,1,2022,7,1,565,0,155795783,97,D,Major,78,31,72,1,0,11,4,155.79578,18,8.65532
871,Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987,125,F#,Major,45,67,90,9,11,10,5,1553.49799,450,3.45222
872,Last Last,Burna Boy,1,2022,5,12,4526,12,293466523,88,D#,Minor,80,55,56,13,0,8,9,293.46652,19,15.44561
873,SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,170,0,Major,56,52,64,11,0,45,7,711.3666,21,33.8746
874,Sticky,Drake,1,2022,6,17,2814,0,191448892,137,A#,Minor,88,8,49,9,0,9,14,191.44889,18,10.63605
875,Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992,157,A,Major,88,52,69,0,0,8,23,85.92499,18,4.77361
876,Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902,130,F#,Major,95,83,57,54,0,10,25,176.1039,19,9.26863
877,La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256,90,C#,Major,85,80,83,10,0,8,11,121.18926,18,6.73274
878,die first,Nessa Barrett,1,2022,6,24,767,0,131746175,183,G#,Minor,44,44,67,7,0,12,13,131.74618,18,7.31923
879,Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012,128,C#,Major,58,68,91,2,0,27,11,244.79001,20,12.2395
880,Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708,130,D#,Minor,71,78,40,46,0,7,45,129.31471,18,7.18415
881,cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,331511413,126,C#,Major,63,56,43,24,0,12,23,331.51141,17,19.50067
882,Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651,120,0,Major,77,94,87,2,0,23,12,219.19665,17,12.89392
883,STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845,130,E,Minor,72,18,46,7,0,28,8,170.73284,17,10.04311
884,Caile,Luar La L,1,2020,12,18,1494,2,273914335,122,0,Major,70,46,76,30,0,9,45,273.91434,36,7.60873
885,Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440,172,G#,Minor,74,46,58,15,0,13,8,179.06144,17,10.53303
886,GIVENCHY,Duki,1,2022,7,20,625,4,185236961,103,G#,Major,61,38,62,14,0,23,40,185.23696,17,10.89629
887,ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,171788484,122,A#,Minor,55,46,64,0,0,17,10,171.78848,17,10.1052
888,Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183,130,B,Major,47,56,90,0,0,10,4,387.08018,52,7.44385
889,Attention,NewJeans,1,2022,8,1,799,12,264717480,105,A#,Minor,81,70,65,24,0,8,4,264.71748,17,15.57162
890,THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911,120,F,Major,90,73,51,39,0,9,6,244.92891,22,11.13313
891,"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,145,G,Major,56,43,53,24,0,12,4,97.61045,17,5.74179
892,El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853,99,G,Minor,79,64,59,28,0,11,14,287.27885,17,16.89876
893,Heartless,Kanye West,1,2008,1,1,17504,34,887906111,88,A#,Minor,79,66,65,5,0,25,14,887.90611,194,4.57684
894,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,126,A,Major,81,90,73,28,0,29,4,123.47312,17,7.26312
895,Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154,136,0,Major,77,71,75,33,1,13,4,295.15215,16,18.44701
896,JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692,113,G#,Major,70,97,59,55,0,27,12,323.45569,22,14.70253
897,Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092,132,B,Major,82,49,88,20,0,21,3,240.91809,18,13.38434
898,Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381,135,G#,Major,77,74,74,47,0,34,8,191.87338,19,10.0986
899,Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,284216603,126,0,Major,67,49,77,11,0,19,11,284.2166,74,3.84076
900,Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309,102,C#,Minor,67,72,74,30,0,36,4,239.41131,15,15.96075
901,After LIKE,IVE,1,2022,8,22,767,12,265548837,125,0,Major,68,80,92,10,0,9,12,265.54884,16,16.5968
902,Bound 2,Kanye West,1,2013,1,1,19806,7,703301727,149,C#,Major,37,28,66,14,0,9,5,703.30173,133,5.28798
903,B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,244585109,137,0,Major,74,71,89,24,61,15,5,244.58511,18,13.58806
904,Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,120,D#,Minor,77,78,91,14,0,33,12,189.47612,16,11.84226
905,BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266,100,C#,Major,90,75,50,11,0,9,26,277.13227,23,12.04923
906,Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007,164,G#,Minor,70,58,57,25,0,15,7,278.92001,19,14.68
907,KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722,93,A#,Minor,65,79,66,31,0,22,7,222.41072,18,12.35615
908,Prohibidox,Feid,1,2022,9,13,1473,12,185392587,180,C#,Minor,65,52,80,5,0,6,25,185.39259,15,12.35951
909,Static,Steve Lacy,1,2022,7,15,1613,0,202452860,79,C#,Major,34,22,31,43,63,10,7,202.45286,17,11.90899
910,The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312,146,F,Major,56,21,44,73,0,11,2,1608.16431,260,6.18525
911,Sparks,Coldplay,1,2000,7,10,10826,4,624101957,103,C#,Major,37,17,27,75,5,10,3,624.10196,285,2.18983
912,Talk,YEAT,1,2022,9,2,920,0,148461629,140,E,Minor,70,26,76,8,0,54,23,148.46163,16,9.27885
913,XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942,92,A#,Major,81,48,70,13,0,15,7,47.09394,15,3.1396
914,Selfish,PnB Rock,1,2016,6,23,2468,0,380319238,102,C#,Minor,64,4,60,11,0,19,4,380.31924,91,4.17933
915,Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362,118,B,Minor,82,75,85,33,1,11,4,209.10636,17,12.30037
916,Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,93,D,Major,78,75,62,6,0,15,6,53.9874,15,3.59916
917,Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,150,F,Minor,70,26,56,14,83,11,5,115.33179,18,6.40732
918,THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344,130,D,Major,52,24,60,0,0,8,3,225.09334,15,15.00622
919,Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,83,D#,Minor,65,24,53,6,0,51,4,84.69773,14,6.04984
920,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673,102,A,Major,84,43,75,5,0,6,8,159.24067,16,9.95254
921,Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584,136,E,Minor,73,65,91,4,0,48,18,170.70958,14,12.19354
922,Miss You,Southstar,1,1982,5,16,2020,0,154356956,145,A,Major,66,24,58,17,0,19,5,154.35696,506,0.30505
923,we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,130,G,Major,57,24,37,11,18,16,3,723.04385,62,11.662
924,2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123,156,G,Major,72,92,77,9,0,8,11,247.68912,17,14.56995
925,Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912,123,D,Major,57,50,85,5,0,16,4,176.47491,15,11.76499
926,Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288,132,G,Major,92,53,62,7,0,63,10,235.54929,15,15.70329
927,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,125,D#,Minor,49,13,74,0,0,9,4,140.43034,36,3.90084
928,California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,162,F,Minor,74,22,67,0,0,11,46,85.55936,14,6.11138
929,Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,7,146223492,138,A#,Major,80,82,81,14,0,13,36,146.22349,15,9.74823
930,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,187701588,161,A#,Minor,59,62,60,12,0,5,44,187.70159,18,10.42787
931,Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153,131,G#,Minor,91,23,55,1,0,7,32,154.86315,14,11.06165
932,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656,122,E,Minor,75,45,63,6,0,35,12,191.33366,14,13.66669
933,Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850,80,E,Minor,80,16,28,17,0,12,39,253.65085,14,18.11792
934,Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273,109,G,Major,75,11,50,20,0,30,17,223.06427,14,15.93316
935,On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877,158,A,Major,84,33,36,2,0,39,59,170.41388,14,12.17242
936,Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587,126,E,Major,66,12,35,55,0,9,14,218.32059,14,15.59433
937,Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,104,C#,Major,73,25,61,1,0,32,7,141.721,14,10.12293
938,Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835,110,0,Major,48,15,31,80,22,12,4,187.33984,14,13.38142
939,Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537,130,G,Major,77,20,70,1,0,16,5,198.36554,14,14.16897
940,Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310,177,0,Major,34,39,16,97,0,12,5,186.10431,14,13.29316
941,"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,158,G,Major,48,55,84,43,0,15,12,177.50392,14,12.67885
942,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,114,D,Minor,62,25,44,51,33,14,3,71.09571,14,5.07826
943,Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,144,F,Major,93,62,61,0,0,12,20,112.4364,14,8.03117
944,The Astronaut,Jin,1,2022,10,28,481,9,203436468,125,F,Major,54,22,76,0,0,14,3,203.43647,14,14.53118
945,BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,142,F,Minor,85,40,43,4,0,39,32,93.36754,14,6.66911
946,Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,120,D,Major,64,11,53,1,0,25,27,106.24922,14,7.58923
947,The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,96,F,Major,57,55,74,22,0,8,4,181.38259,14,12.9559
948,My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,144,A,Major,60,24,39,57,0,8,3,91.47336,14,6.53381
949,Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,166,F#,Major,42,7,24,83,1,12,6,121.87187,14,8.70513
950,A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,92,C#,Major,80,81,67,4,0,8,6,73.51368,14,5.25098
951,En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,97,C#,Major,82,67,77,8,0,12,5,133.89561,14,9.56397
952,Alone,Burna Boy,1,2022,11,4,782,2,96007391,90,E,Minor,61,32,67,15,0,11,5,96.00739,14,6.85767
